Team,Pts,Opp. Pts,3PTM,Opp. 3PTM,OReb,Opp. OReb,DReb,Opp. DReb,Ast,Opp. Ast,Stl,Opp. Stl,Blk,Opp. Blk,TO,Opp. TO,Foul,Opp. Foul,Season,Season Type,Match Count
Cleveland Cavaliers,99.98,103.4,4.31,5.27,12.69,12.72,31.44,32.46,24.41,24.38,8.99,8.27,4.57,6.28,17.38,16.77,27.91,25.84,1999-2000,REG,82
Dallas Mavericks,106.14,106.71,6.62,5.47,11.88,15.96,31.19,34.69,23.1,24.26,7.56,7.71,5.31,5.31,13.8,16.26,22.59,23.15,1999-2000,REG,82
Denver Nuggets,103.3,105.5,5.98,5.08,13.66,13.07,32.97,33.17,24.33,25.49,7.05,7.84,7.87,5.88,15.72,14.51,24.98,24.65,1999-2000,REG,82
Detroit Pistons,106.7,105.26,5.52,5.76,11.54,12.24,30.92,31.51,21.47,23.82,8.37,8.2,3.43,4.98,15.72,16.94,25.3,27.92,1999-2000,REG,82
Golden State Warriors,99.15,107.92,4.37,5.41,16.45,13.83,30.86,34.12,23.43,25.82,9.25,8.75,4.51,6.28,15.88,16.34,25.86,23.93,1999-2000,REG,82
Houston Rockets,104.48,105.64,7.44,4.49,12.91,13.19,33.13,31.47,22.73,23.92,7.85,9.44,5.61,5.56,17.4,14.06,21.3,23.54,1999-2000,REG,82
Indiana Pacers,107.91,103.15,7.57,4.28,10.94,13.53,33.94,33.11,24.13,22.57,7.26,7.94,5.48,4.2,14.46,14.19,23.2,24.85,1999-2000,REG,82
Los Angeles Clippers,97.37,109.45,5.54,5.38,12.32,13.38,30.67,34.79,19.08,25.46,7.46,8.01,6.37,4.86,16.32,14.66,23.5,22.31,1999-2000,REG,82
Los Angeles Lakers,106.96,97.71,4.45,4.8,14.45,13.01,35.43,32.69,24.85,20.63,7.93,8.1,6.91,4.46,14.31,14.87,23.82,27.11,1999-2000,REG,82
Vancouver Grizzlies,101.95,107.83,4.29,4.77,13.3,12.81,30.76,30.86,22.5,25.52,8.05,9.58,4.58,6.86,17.31,15.64,24.9,25.26,1999-2000,REG,82
Miami Heat,104.06,100.5,6,5.48,12.38,13.08,35.22,31.44,25.97,21.24,7.83,8.34,7.05,4.89,15.89,14.4,26.18,24.1,1999-2000,REG,82
Milwaukee Bucks,107.79,107.45,5.12,6.89,13.2,13.45,30.82,30.72,24.05,25.78,8.71,8.26,4.95,4.41,15.36,16.07,26.23,24.26,1999-2000,REG,82
Minnesota Timberwolves,105.58,102.96,3.24,4.97,13.28,11.98,32.29,31.91,28.82,22.72,8.13,7.73,5.8,4.5,14.47,15.38,25,22.04,1999-2000,REG,82
New Jersey Nets,104.08,105.21,6.18,4.77,13.47,14.63,29.98,34.42,21.86,24.06,9.33,7.36,5.09,6.08,13.61,17.23,24.78,24.21,1999-2000,REG,82
Charlotte Hornets,103.54,100.8,4.35,5.26,11.34,12.39,33.8,32.74,25.95,24.43,9.39,7.75,6.16,5.4,14.88,15.98,21.42,26.65,1999-2000,REG,82
New York Knicks,102.52,100.64,4.76,5.47,10.88,12.55,34.21,33.04,21.55,21.78,6.99,8.16,4.74,4.79,15.7,15.08,26.91,24.35,1999-2000,REG,82
Seattle SuperSonics,105.26,104.55,7.07,5.72,13.5,14.08,32.17,33.92,24.33,25.19,8.51,7.67,4.47,5.63,14.46,15.72,23.01,23.89,1999-2000,REG,82
Orlando Magic,102.01,101.65,3.66,5.38,14.23,13.64,31.58,30.84,21.25,24.83,9.24,9.03,5.81,5.92,17.62,17.67,24.45,25.04,1999-2000,REG,82
Philadelphia 76ers,100.79,99.2,2.7,5.4,14.88,13.79,32.01,32.38,23.57,23.67,10.26,8.17,5.01,6.88,16.23,17.9,25.15,25.6,1999-2000,REG,82
Phoenix Suns,104.05,98.51,5.88,5.17,13.11,13.73,32.82,31.61,26.92,21.8,9.55,9.4,5.56,5.48,17.08,17.54,25.31,23,1999-2000,REG,82
Portland Trailblazers,108.13,100.78,5.51,5.32,13.07,13.2,34.64,29.97,26.05,23.02,8.57,8.8,5.36,4.73,16.17,15.34,25.24,25.27,1999-2000,REG,82
Sacramento Kings,104.91,101.89,6.51,4.82,12.87,13.92,32.12,33.62,23.81,23.74,9.59,9.17,4.64,4.92,15.8,16.97,21.08,23.66,1999-2000,REG,82
San Antonio Spurs,104.67,98.08,4.38,4.71,12.3,13.07,35.39,31.95,24.14,22.1,8.15,8.55,7.31,5.69,15.7,14.9,22.78,25.09,1999-2000,REG,82
Toronto Raptors,104.02,104.15,5.55,4.52,14.33,12.54,31.97,33.3,25.42,23.36,8.7,7.27,7.1,5.66,14.17,15.78,25.97,24.46,1999-2000,REG,82
Utah Jazz,107.05,102.33,4.45,5.26,12.66,12.03,32.82,30.32,27.61,21.96,8.51,7.97,6.03,5.57,15.69,16.65,27.23,27.43,1999-2000,REG,82
Washington Wizards,102.96,106.61,4.36,5.08,13.83,12.52,31.69,31.48,23.02,23.34,7.71,8.93,4.98,6.55,16.47,15.39,27.94,25.61,1999-2000,REG,82
Detroit Pistons,88.19,100,4.8,5.19,6.64,9.26,31.37,36.67,16.24,23.7,6.64,10.37,1.85,8.15,17.71,18.89,27.31,32.96,1999-2000,POFF,3
Indiana Pacers,121.03,117.23,8.8,5.24,12.45,13.86,37.55,36.87,25.11,24.18,6.71,7.6,5.74,5.46,13.31,13.16,28.86,29.37,1999-2000,POFF,23
Los Angeles Lakers,120.66,117.51,6.52,7.71,15.98,12.95,36.44,36.18,26.39,22.86,7.94,8.23,7.36,4.51,14.09,14.42,30.55,32.04,1999-2000,POFF,23
Miami Heat,121.82,117.98,6.88,5.7,15.37,11.4,48.17,44.3,27.97,20.32,10.54,9.8,7.47,4.83,19.03,18.28,38.07,34.06,1999-2000,POFF,10
Milwaukee Bucks,180.3,176.41,6.82,8.99,21.59,24.72,58.71,53.56,39.02,34.46,12.5,7.87,10.61,6.37,19.7,19.85,46.97,40.82,1999-2000,POFF,5
Minnesota Timberwolves,103.02,106.08,3.63,6.99,12.39,10.64,29.91,32.22,28.4,23.71,7.25,6.38,4.83,4.56,12.99,13.68,28.7,25.53,1999-2000,POFF,4
Charlotte Hornets,103.99,107.12,5.13,6.84,15.39,14.82,34.76,31.34,25.93,24.22,9.4,7.98,6.55,6.84,16.52,13.39,25.07,27.64,1999-2000,POFF,4
New York Knicks,114.01,115.44,6.08,7.76,10.89,14.94,41.01,42.62,19.75,25.23,8.78,8.52,5.49,5.74,15.61,15.19,30.97,31.06,1999-2000,POFF,16
Seattle SuperSonics,105.19,106.07,7.9,6.74,14,12.58,32.28,34.61,22.35,28.32,9.26,9.21,3.84,6.52,16.25,17.3,24.61,24.94,1999-2000,POFF,5
Philadelphia 76ers,106.08,108.28,4.39,7.14,15.2,12.47,32.55,33.79,21.51,26.19,7.32,8.39,5.07,6.92,12.95,14.4,25.45,27.1,1999-2000,POFF,10
Phoenix Suns,108.71,112.66,5.81,4.54,17.29,17.33,38.59,39.48,26.14,21.32,10.1,10.18,7.75,8.53,18.4,17.06,34.16,26.82,1999-2000,POFF,9
Portland Trailblazers,114.82,109.26,6.75,5.99,12.1,11.83,35.3,34.79,23.9,28.17,9.15,6.93,4.73,6.69,14.9,15.41,31.27,33.15,1999-2000,POFF,16
Sacramento Kings,104.33,113.23,7.14,4.12,12.77,19.52,31.82,35.79,17.97,23.64,7.36,7.16,3.9,6.94,12.34,11.71,23.81,25.38,1999-2000,POFF,5
San Antonio Spurs,89.59,91.71,3.29,4.42,13.43,15.47,37.26,37.57,16.44,22.93,9.32,10.22,8.22,10.77,17.26,16.3,22.74,27.9,1999-2000,POFF,4
Toronto Raptors,96.17,100.77,4.98,6.13,14.94,8.81,34.1,33.72,21.84,13.79,10.35,9.2,4.98,5.75,15.33,18.01,29.89,27.59,1999-2000,POFF,3
Utah Jazz,100.68,106.64,5.25,6.87,11.75,13.27,34.21,32.84,26.91,23.23,7.87,9.61,6.16,4.35,16.42,16.02,28.51,26.55,1999-2000,POFF,10
Atlanta Hawks,97.99,103.83,4.38,5.21,13.51,13.55,32.71,33.36,20.48,22.87,8.33,9.19,5.08,6.75,17,15.26,24.48,22.33,2000-2001,REG,82
Boston Celtics,101.35,103.7,7.73,5.62,11.72,11.61,30.92,34.64,22.31,24.64,10.04,8.5,4.39,5.75,16.17,17.32,25.5,24.87,2000-2001,REG,82
Chicago Bulls,96.96,107.37,4.44,4.69,12.5,12.96,30.52,34.55,24.44,26.17,9.11,8.6,5.12,5.77,16.16,15.93,25.68,23.76,2000-2001,REG,82
Cleveland Cavaliers,100.32,104.77,2.92,5.59,13.47,13.11,32.37,31.79,22.66,24.9,8.52,9.19,5.79,7.18,17.21,15.55,25.26,23.98,2000-2001,REG,82
Dallas Mavericks,107.22,102.47,6.73,4.95,10.82,13.87,33.46,34.07,22.65,23.1,8.04,8.08,6.4,4.92,14.24,15.73,24.82,24.01,2000-2001,REG,82
Denver Nuggets,103.33,105.95,6.68,5.43,13.62,13.21,33.71,34.47,25.71,26.64,7.2,7.67,7.02,6.49,14.25,13.57,23.75,22.94,2000-2001,REG,82
Detroit Pistons,99.91,101.58,4.96,5.45,14.13,12.89,33.48,34.02,20.77,23.69,7.82,8.52,5.7,5.06,16.13,15.53,24.92,26.26,2000-2001,REG,82
Golden State Warriors,97.11,106.73,3.61,5.63,17.22,13.32,30.54,34.52,22.89,26.22,9.5,9.26,5.25,6.32,16.04,16.7,22.11,22.63,2000-2001,REG,82
Houston Rockets,106.62,103.98,6.74,4.8,12.29,13.2,33.76,32.33,21.57,23.18,7.85,8.08,4.79,5.34,15.19,14.09,22.16,23.66,2000-2001,REG,82
Indiana Pacers,101.47,101.73,5.29,5.04,12.31,13.93,34.69,33.37,23.57,22.67,7.53,7.88,6.51,5.18,15.68,14.32,25.75,25.17,2000-2001,REG,82
Los Angeles Clippers,101.36,104.77,4.81,4.74,12.86,13.95,34.22,32.69,21.19,24,6.55,8.55,6.86,5.52,16.21,13.35,23.73,24.06,2000-2001,REG,82
Los Angeles Lakers,108.49,104.83,5.77,5.43,14.27,12.9,33.97,31.64,24.83,21.81,7.42,8.14,6.44,4.26,14.95,13.42,24.62,26.32,2000-2001,REG,82
Vancouver Grizzlies,99.22,105.45,4.29,5.13,11.79,13.88,32.07,33.44,25.05,25.53,7.73,9.37,4.74,6.28,16.32,15.7,22.86,23.33,2000-2001,REG,82
Miami Heat,100.82,98.2,6.61,4.98,11.25,12.64,33.68,34.96,22.55,19.65,8.76,8.27,4.21,5.86,14.88,16.71,23.87,25.23,2000-2001,REG,82
Milwaukee Bucks,108.33,103.94,7.37,5.75,12.79,13.27,32.79,32.59,24.18,24.64,8.81,7.75,5.06,4.58,14.19,15.91,25.29,23.27,2000-2001,REG,82
Minnesota Timberwolves,105.23,103.87,4.25,4.62,13.21,12.76,32.56,33.06,27.46,24.2,8.99,7.69,6.01,4.71,14.57,15.59,25.05,21.84,2000-2001,REG,82
New Jersey Nets,99.62,105.2,4.76,5.65,11.99,13.22,30.83,34.63,21.15,24.3,8.56,8.18,5.37,6.89,15.02,16.61,26.14,23.88,2000-2001,REG,82
Charlotte Hornets,101.06,98.91,4.56,5.22,13.85,11.98,34.96,32.71,25.47,23.47,8.91,8.27,6.1,5.04,15.07,15.37,23.5,23.74,2000-2001,REG,82
New York Knicks,101.34,98.1,5.45,6.18,10.77,12.12,35.16,33.6,21.17,21.86,7.59,8.28,4.82,4.7,15.77,15.94,25.95,24.38,2000-2001,REG,82
Seattle SuperSonics,105.56,105.61,6.17,6.24,13.22,13.85,32.05,32.19,23.71,25.91,8.69,8.58,5.41,6.75,15.89,15.51,22.93,24.05,2000-2001,REG,82
Orlando Magic,103.46,102.3,6.34,4.73,13.84,13.72,31.72,33.74,23.34,23.19,8.73,8.99,6.23,5.69,15.74,17.13,26.81,25.17,2000-2001,REG,82
Philadelphia 76ers,102.93,98.21,3.47,5.66,14.25,13.05,34.47,31.35,22.43,23.47,9.15,8.9,5.41,6.07,16.32,16.11,22.18,25.68,2000-2001,REG,82
Phoenix Suns,100.21,97.78,4.32,4.25,12.61,11.71,32.87,33.61,24.76,21.47,10.07,8.86,5.58,5.4,15.71,17.96,24.23,23.64,2000-2001,REG,82
Portland Trailblazers,106.41,101.82,5.02,5.53,13.04,12.88,33.74,30.47,26.7,23.75,9.14,8.79,5.7,4.41,16.47,15.91,23.73,23.66,2000-2001,REG,82
Sacramento Kings,105.66,99.39,6.07,5.07,12.5,14.17,34.26,33.4,23.46,22.95,10.04,8.42,5.47,6.02,14.92,16.14,20.21,22.32,2000-2001,REG,82
San Antonio Spurs,106.45,97.56,6.01,4.62,12.18,13.01,36.61,32.73,24,21.76,7.67,8.07,7.78,5.73,14.84,14.27,20.94,26.19,2000-2001,REG,82
Toronto Raptors,105.94,103.29,5.68,5.01,14.79,12.23,33.46,33.16,26.52,22.4,7.93,7.41,6.87,5.8,13.8,14.46,23.09,23.66,2000-2001,REG,82
Utah Jazz,107.13,102.35,4.38,5.54,12.69,11.81,32.08,29.5,28.42,21.14,8.9,9.45,6.23,6.12,16.84,17.18,28.38,27.12,2000-2001,REG,82
Washington Wizards,100.43,107.75,3.61,5.7,13.35,12.25,31.14,31.7,21.64,25.02,8.28,9.05,5.03,6.72,17.35,15.53,25.13,25.96,2000-2001,REG,82
Dallas Mavericks,104.18,108.48,6.89,6,13.79,14.14,32.54,37.33,19.21,26.47,6.67,6.45,6.22,6,12.54,14.48,26.44,27.15,2000-2001,POFF,10
Indiana Pacers,99.71,106.61,7.14,3.74,13.43,16.09,32,35.06,23.71,24.14,5.43,7.76,5.14,4.89,13.71,12.07,26.86,24.14,2000-2001,POFF,4
Los Angeles Lakers,111.46,97.84,6.6,4.32,15.43,12.75,36.52,31.31,24.6,17.88,9.91,8.1,6.2,6.21,14.76,14.71,24.39,25.57,2000-2001,POFF,16
Miami Heat,82.96,111.03,5.56,5.52,7.78,13.24,28.89,34.93,15.56,20.22,5.19,13.6,5.56,4.41,16.67,14.34,26.67,22.79,2000-2001,POFF,3
Milwaukee Bucks,101.31,105.93,7.17,5.62,13.71,16.29,34.83,33.02,22.93,23.28,6.04,8.68,7.6,5.37,12.96,11.86,24.67,23.41,2000-2001,POFF,18
Minnesota Timberwolves,81.38,100.86,3.44,6.84,10.32,11.4,30.37,37.61,18.05,21.65,7.45,5.98,5.44,5.13,12.61,15.1,25.79,23.36,2000-2001,POFF,4
Charlotte Hornets,107.53,88.23,4.94,6.39,14.83,10.54,33.6,31.61,22.14,20.52,9.66,5.27,5.17,7.62,12.58,13.45,23.48,23.77,2000-2001,POFF,10
New York Knicks,97.04,104.77,4.56,5.23,7.97,13.86,27.56,30.68,16.4,22.27,7.06,9.32,2.96,5.91,15.95,15.68,25.06,25,2000-2001,POFF,5
Orlando Magic,106.75,113.61,8.31,6.02,14.03,18.33,31.43,37.44,22.86,21.73,8.31,7.07,6.49,5.5,11.43,12.3,27.53,23.82,2000-2001,POFF,4
Philadelphia 76ers,105.1,105.3,4.36,7.88,16.01,13.52,33.45,33.19,22.75,25.41,9.02,7.43,5.3,7.78,13.23,14.41,23.44,25.85,2000-2001,POFF,23
Phoenix Suns,91,101.03,4.37,5.67,13.88,16.5,31.62,36.34,21.85,18.3,10.03,7.73,5.91,5.41,12.85,17.78,24.17,21.91,2000-2001,POFF,4
Portland Trailblazers,97.45,113.92,5.84,5.86,10.58,16.12,30.66,37.36,17.88,27.84,6.93,10.99,5.11,2.2,16.06,12.82,23.36,24.18,2000-2001,POFF,3
Sacramento Kings,100.64,100.13,5.16,3.98,15.59,14.38,33.51,32.99,17.27,21.05,8.38,10.01,5.41,5.78,16.88,14.25,25,24.52,2000-2001,POFF,8
San Antonio Spurs,102.41,98.88,6.2,5.76,11.96,14.52,36.83,34.02,21.95,21.74,6.8,8.85,6.71,5.76,14.89,12.29,23.15,25.17,2000-2001,POFF,13
Toronto Raptors,105.53,102.57,6.78,4.67,13.65,11.92,30.73,30.7,25.67,20.21,8.97,8.48,6.97,4.96,14.5,15.25,24.52,24.02,2000-2001,POFF,12
Utah Jazz,103.7,108.82,4.17,8.82,14.58,11.37,34.03,33.64,26.85,17.4,6.02,4.41,6.02,6.27,13.43,14.15,31.02,26.45,2000-2001,POFF,5
Atlanta Hawks,101.27,105.99,5.56,6.21,12.54,13.19,32.11,33.17,21.74,24.41,8.75,9.25,4.58,6.68,15.79,15.48,22.35,21.66,2001-2002,REG,82
Boston Celtics,103.43,100.93,9.15,6.72,11.66,12.47,33.64,36.7,22.54,23.56,10.38,8.15,3.82,6.22,14.16,16.8,23.25,22.67,2001-2002,REG,82
Chicago Bulls,98.08,107.68,4.01,5.64,12.36,12.65,31.54,34.21,24.3,27.69,8.46,9.13,4.83,5.35,15.63,15.04,24.52,23.05,2001-2002,REG,82
Cleveland Cavaliers,104.61,108.19,5.18,6.33,12.96,12.42,33.25,31.88,25.32,26.62,7.66,8.06,6.29,6.14,15.12,13.62,23.46,21.92,2001-2002,REG,82
Dallas Mavericks,111.79,107.45,8.05,5.87,11.89,13.82,33.27,33.74,23.46,24.2,7.53,7.64,5.08,4.89,12.41,14.55,23.86,23.2,2001-2002,REG,82
Denver Nuggets,101.41,108.13,5.68,5.71,14.99,13.39,30.99,34.03,24.38,26.48,8.22,9.03,6.2,7.54,15.16,15.1,25.13,22.15,2001-2002,REG,82
Detroit Pistons,104.75,102.22,7.68,4.85,10.98,13.4,32.04,33.95,23.9,22.15,8.78,8.8,7.65,4.53,15.37,16.31,22.96,25.34,2001-2002,REG,82
Golden State Warriors,102.59,108.42,4.1,5.18,17.09,14.11,31.93,31.43,21.85,25.68,8.33,9.06,6.7,6.62,16.97,14.52,24.13,25,2001-2002,REG,82
Houston Rockets,102.71,108.34,6.73,5.03,13.9,14.2,32.71,34.07,20.1,24.98,7.28,7.83,6.04,5.64,14.57,12.9,20.02,22.38,2001-2002,REG,82
Indiana Pacers,103.83,103.59,5.3,5.47,12.17,13.71,33.59,32.9,24.64,23.18,8.61,8.09,5.7,6.1,15.58,14.66,24.54,24.27,2001-2002,REG,82
Los Angeles Clippers,105.53,106.23,5.49,5.48,14.57,14.34,33.28,32.05,23.05,25.05,6.86,8.25,7.26,5.92,15.47,13.6,21.84,23.92,2001-2002,REG,82
Los Angeles Lakers,109.29,101.71,6.71,5.26,13.45,13.39,34.31,33.28,24.77,21.65,8.23,7.73,6.29,4.66,13.1,14.49,23.99,24.9,2001-2002,REG,82
Memphis Grizzlies,97.98,105.88,4.47,5.28,13.08,15.06,32.07,33.96,23.72,26.01,8.59,10.36,6.49,6.06,17.15,15.44,20.88,23.66,2001-2002,REG,82
Miami Heat,98.66,100.25,4.31,5.22,12.45,12.32,35.1,34.22,22.96,20.13,7.55,8.54,6.18,4.86,15.91,14.78,25.47,23.55,2001-2002,REG,82
Milwaukee Bucks,106.66,106.97,7.91,6.58,11.22,14.02,34.11,32.54,24.64,25.15,7.95,8,5.18,4.82,14.83,13.24,23.85,21.92,2001-2002,REG,82
Minnesota Timberwolves,109.04,105.13,5.3,6.57,14.18,12.19,34.3,31.08,26.68,24.79,7.02,7.24,5.72,5.44,14.31,13.86,23.28,22.39,2001-2002,REG,82
New Jersey Nets,103.9,99.32,5.31,5.38,13.68,13.15,33.12,33.12,26.21,20.57,9.43,8.8,6.45,5.78,15.4,16.37,22.84,21.93,2001-2002,REG,82
Charlotte Hornets,104.21,103.32,4.68,5.87,14.33,13.06,33.9,32.52,23.81,22.22,8.84,8.47,6.17,5.72,15,14.56,23.64,23.09,2001-2002,REG,82
New York Knicks,101.55,105.96,6.41,5.99,11.84,12.96,33.22,34.32,23.25,23.81,7.54,9.27,3.89,5.2,15.61,14.31,24.33,22.57,2001-2002,REG,82
Seattle SuperSonics,108.77,105.39,6.64,6.41,13.14,14.81,31.66,31.57,26.14,24.86,9.47,7.71,4.94,5.43,14.73,16.35,23.51,22.08,2001-2002,REG,82
Orlando Magic,106.94,105.39,8.05,5.31,12.21,14.12,31.66,34.21,23.41,25.07,8.61,8.55,4.97,4.98,14.07,16.13,22.06,22.61,2001-2002,REG,82
Philadelphia 76ers,101.62,99.57,2.92,5.95,14.87,13.33,34.51,31.89,22.31,24.02,9.6,8.88,4.94,6.22,16.02,15.58,22.41,24.82,2001-2002,REG,82
Phoenix Suns,103.08,103.76,4.73,5.72,14.16,13.6,32.11,32.92,24.28,24.05,8.83,9.05,5.3,6.27,15.42,15.86,23.58,20.09,2001-2002,REG,82
Portland Trailblazers,107.4,104.02,6.32,6.31,14.7,12.06,33.12,31.53,26.1,26.34,9.51,8.29,4.99,5.55,15.14,15.54,21.86,22.36,2001-2002,REG,82
Sacramento Kings,109.09,101.06,5.42,4.9,12.88,13.53,34.36,33.25,24.91,23.36,9.42,8.04,4.77,4.92,13.93,15.21,19.84,23.21,2001-2002,REG,82
San Antonio Spurs,106.53,99.56,5.88,5.02,12.18,13.45,34.46,32.58,22.07,20.7,8.39,8.52,7.21,5.74,15.22,15.13,21.15,25.43,2001-2002,REG,82
Toronto Raptors,102.39,102.95,5.29,5.16,15.22,13.6,31.92,33.31,24.31,22.27,9.4,8.59,6.26,5.37,15.15,16.28,24.2,22.04,2001-2002,REG,82
Utah Jazz,105.31,104.06,3.75,6.21,14.84,12.37,31.43,29.41,26.75,21.15,10.02,9.98,7,7.31,17.26,17.72,26.37,27.61,2001-2002,REG,82
Washington Wizards,104.35,105.91,4.18,5.79,14.47,13.16,32.82,32.58,23.52,24.93,7.82,7.86,4.86,5.68,13.7,14.56,24.18,23.49,2001-2002,REG,82
Boston Celtics,101.18,97.92,8.73,6.51,11.71,11.97,36.24,35.09,20.79,22.7,9.84,8.31,5.27,5.4,15.04,15.57,25.36,23.6,2001-2002,POFF,16
Dallas Mavericks,111.8,111.54,8.59,5.51,11.15,15.26,31.8,35,20.13,21.28,6.41,6.92,4.74,4.23,12.05,14.36,26.41,24.74,2001-2002,POFF,8
Detroit Pistons,96.62,97.32,9.31,5.13,11.18,12.72,32.71,37.81,21.77,21.47,8.5,9.57,6.52,5.13,16.07,16.92,24.45,25.32,2001-2002,POFF,10
Indiana Pacers,97.66,96.41,5.12,3.38,8.96,11.39,36.03,32.28,22.6,19.2,8.74,8.65,4.26,6.75,18.12,15.61,26.65,23.63,2001-2002,POFF,5
Los Angeles Lakers,106.47,102.23,6.64,5.09,13.35,13.39,36.08,32.49,21.36,21.8,7.45,8.41,6.3,4.75,14.38,13.73,25.66,26.66,2001-2002,POFF,19
Minnesota Timberwolves,106.62,117.77,5.23,10.8,14.98,8.71,36.59,34.5,16.73,20.21,5.92,7.32,2.79,5.58,15.68,9.41,28.22,28.22,2001-2002,POFF,3
New Jersey Nets,101.76,101.98,4.43,6.25,13.18,12.4,32.39,34.74,22.73,21.75,8.38,9.25,5.87,6.68,14.94,15.98,26.15,26.56,2001-2002,POFF,20
Charlotte Hornets,102.61,103.72,4.75,4.44,15.66,12.35,33.69,31.9,20.88,23.02,9.49,6.95,7.83,5.64,14.59,14.03,29.3,27.82,2001-2002,POFF,9
Seattle SuperSonics,102.38,114.49,5.7,7.13,13.54,12.83,34.2,37.29,20.67,20.9,4.75,6.89,5.7,9.26,12.11,10.69,27.79,23.04,2001-2002,POFF,5
Orlando Magic,100.54,104.22,4.56,4.49,9.65,16.62,32.71,36.15,20.91,21.11,5.9,8.71,4.02,6.33,12.33,13.19,27.61,27.18,2001-2002,POFF,4
Philadelphia 76ers,100.68,111.39,4.53,13.21,14.25,10.02,32.35,33.71,21.95,24.6,10.18,9.8,4.53,5.24,15.16,15.26,21.04,26.42,2001-2002,POFF,5
Portland Trailblazers,100.37,106.62,7.33,7.72,13.19,10.29,35.17,36.03,22.71,22.06,9.16,10.29,3.3,6.99,15.39,14.34,29.67,26.47,2001-2002,POFF,3
Sacramento Kings,106.03,103.54,5.25,5.89,13.57,14.93,34.23,32.55,21.64,21.55,7.87,7.27,4.92,5.63,15.02,14.74,24.98,26.72,2001-2002,POFF,16
San Antonio Spurs,106.68,102.92,5.86,5.84,13,13.32,35.01,35.87,19.79,19.86,7.14,5.61,7.61,5.84,12.3,12.38,23.89,27.57,2001-2002,POFF,10
Toronto Raptors,98.13,101.17,3.98,8.18,14.52,12.15,35.13,30.61,24.59,21.26,9.37,9.35,6.09,6.08,17.8,16.36,27.4,24.77,2001-2002,POFF,5
Utah Jazz,98.05,99.72,3.9,5.88,16.99,14.01,31.2,33.61,25.63,16.81,10.03,8.68,7.8,5.6,16.99,19.33,28.97,26.89,2001-2002,POFF,4
Atlanta Hawks,101.5,105.27,5.29,5.87,12.33,14.11,33.66,31.82,22.09,23.29,8.04,9.7,6.22,5.38,17.18,13.41,23.46,21.93,2002-2003,REG,82
Boston Celtics,101.21,101.73,9.58,6.17,11.31,12.49,32.91,36.66,20.98,24.32,9.59,8.23,4.04,4.89,14.72,16.74,23.42,23.97,2002-2003,REG,82
Chicago Bulls,100.03,105.53,4.48,5.54,12.65,14.36,32.64,33.07,22.89,25.06,7.77,9.88,5.92,5.31,17.09,14.98,26.05,23.09,2002-2003,REG,82
Cleveland Cavaliers,96.14,106.31,3.76,5.49,14.34,11.96,32.61,31.97,21.96,25.31,8.16,10.29,6.68,6.34,18.34,14.26,23.91,21.93,2002-2003,REG,82
Dallas Mavericks,110.5,102.5,8.32,6.26,11.93,13.72,33.29,35.22,24.04,23.39,8.72,7.17,5.88,4.23,11.87,16.53,22.64,22.93,2002-2003,REG,82
Denver Nuggets,92.06,101.46,3.06,5.62,14.84,11.53,31.52,32.7,23.17,23.61,9.5,9.93,5.63,7.2,19.01,17.92,27.43,23.95,2002-2003,REG,82
Detroit Pistons,103.75,99.5,7.38,4,12.23,11.89,33.86,34.99,22.44,20.77,7.7,7.86,6.48,4.91,14.44,15.2,24.21,26.35,2002-2003,REG,82
Golden State Warriors,107.64,108.75,5.45,5.61,16.45,15.42,32.62,30.58,21.94,24.76,7.61,9.09,6.48,6.29,15.97,13.87,22.89,24.79,2002-2003,REG,82
Houston Rockets,103.78,101.9,5.93,5.2,13.82,13.18,34.61,31.69,20.33,22.66,8.02,8.93,6.66,5.13,16.17,14.02,21.63,24.16,2002-2003,REG,82
Indiana Pacers,104.25,100.66,4.98,5.35,13.18,13.23,34.43,32.33,25.08,22.3,9.14,8.15,5.82,6.75,15.1,15.89,23.78,25.29,2002-2003,REG,82
Los Angeles Clippers,102.1,106.6,5.18,6.03,13.38,13.88,32.67,32.65,21.3,24.42,7.62,8.65,6.12,5.55,16.54,14.59,23.68,24.48,2002-2003,REG,82
Los Angeles Lakers,106.84,104.57,6.31,6.05,14,12.45,33.16,32.45,24.78,22.8,8.3,8.38,6.1,4.05,14.96,14.75,24.33,24.92,2002-2003,REG,82
Memphis Grizzlies,103.8,107.13,6.06,5.59,12.24,14.6,32.02,33.14,24.57,25.82,8.45,9.26,6.49,5.58,15.76,15.2,21.79,23.11,2002-2003,REG,82
Miami Heat,96.81,102.36,4.8,5.59,13.08,12.01,34,35.64,20.71,20.42,8.17,8.62,4.47,6.01,15.14,15.39,25.61,23.02,2002-2003,REG,82
Milwaukee Bucks,108.48,108.3,7.78,6.37,11.65,13.59,31.48,33.81,24.24,25.18,8.27,7.23,4.58,4.43,13.25,14.88,24.2,22.42,2002-2003,REG,82
Minnesota Timberwolves,106.04,103.91,3.9,6.23,12.64,12.85,34.45,32.24,27.28,24.68,7.29,7.53,5.71,5.34,14.38,14.04,22.46,22.24,2002-2003,REG,82
New Jersey Nets,103.81,97.82,4.59,5.62,13.16,12.33,33.56,32.57,25.05,21.27,9.52,9.17,4.97,5.6,15.72,17.18,23.52,24.88,2002-2003,REG,82
